Section,data_key,display_name,data_type,priority,field_class,source,enum/options (incl. Other),notes / validation
Identity,full_name,Full Name,text,High,FACT,client_declared,—,Free text
Identity,dob,Date of Birth,date,High,FACT,client_declared/document_shared,—,Format: DD-MMM-YYYY (or ISO internally)
Identity,age_band,Age Band,enum,Medium,FACT,client_declared,<25 | 25–34 | 35–44 | 45–54 | 55–64 | 65+ | Other,"Use if DOB not available; if Other, capture age_band_other"
Identity,gender,Gender,enum,Low,FACT,client_declared,Male | Female | Non-binary | Prefer not to say | Other,"If Other, capture gender_other"
Identity,marital_status,Marital Status,enum,Medium,FACT,client_declared,Single | Married | Divorced | Widowed | Separated | Other,"If Other, capture marital_status_other"
Household,dependents_count,Number of Dependents,number,Medium,FACT,client_declared,—,0–20
Household,dependents_notes,Dependents Details,text,Low,SIGNAL,client_declared,—,Names/ages/relationships (if comfortable)
Household,household_structure,Household Structure,enum,Low,SIGNAL,client_declared,Nuclear | Joint family | Living alone | Other,"If Other, capture household_structure_other"
Household,family_financial_responsibilities,Family Financial Responsibilities,text,Medium,SIGNAL,client_declared,—,"e.g., parents support, siblings, etc."
Location,city_of_residence,City of Residence,text,High,FACT,client_declared,—,Free text
Location,country_of_residence,Country of Residence,enum,Medium,FACT,client_declared,India | UAE | US | UK | Singapore | Other,"If Other, capture country_of_residence_other"
Location,residence_status,Residence Status,enum,Medium,FACT,client_declared,Resident | NRI | OCI | PIO | Other,"If Other, capture residence_status_other"
Contact,primary_mobile,Primary Contact Number,text,High,FACT,client_declared,—,Prefer E.164 storage (+91…)
Contact,secondary_mobile,Secondary Contact Number,text,Low,FACT,client_declared,—,Optional
Contact,email_primary,Email Address,text,High,FACT,client_declared,—,Validate email format
Contact Prefs,preferred_channel,Preferred Communication Channel,enum,High,SIGNAL,client_declared,WhatsApp | Call | Email | SMS | Other,"If Other, capture preferred_channel_other"
Contact Prefs,preferred_contact_time,Preferred Time to Contact,enum,Low,SIGNAL,client_declared,Morning | Afternoon | Evening | Weekends | Flexible | Other,"If Other, capture preferred_contact_time_other"
Contact Prefs,language_preference,Language Preference,enum,Low,SIGNAL,client_declared,English | Hindi | Marathi | Tamil | Telugu | Bengali | Other,"If Other, capture language_preference_other"
Relationship,relationship_origin,How RM met client,enum,Medium,SIGNAL,rm_observed,Referral | Existing relationship | Event | Cold outreach | Digital inbound | Other,"If Other, capture relationship_origin_other"
Relationship,referral_source_name,Referral Source (Name),text,Low,SIGNAL,rm_observed,—,Optional
Professional,occupation_type,Occupation Type,enum,High,FACT,client_declared,Salaried | Business Owner | Professional | Self-employed | Retired | Unemployed | Other,"If Other, capture occupation_type_other"
Professional,industry,Work Industry,enum,Medium,SIGNAL,client_declared,IT | BFSI | Pharma | Manufacturing | Healthcare | Real Estate | Education | Govt | Other,"If Other, capture industry_other"
Professional,job_title,Job Title / Designation,text,Low,SIGNAL,client_declared,—,Free text
Professional,employer_business_name,Employer / Business Name,text,Medium,SIGNAL,client_declared,—,Free text
Professional,work_location,Work Location,text,Low,SIGNAL,client_declared,—,City/country if relevant
Income,income_band_annual,Annual Income Band,enum,High,FACT,client_declared,<10L | 10–25L | 25–50L | 50L–1Cr | 1–2Cr | 2Cr+ | Other,"If Other, capture income_band_annual_other"
Income,income_stability,Income Stability,enum,High,SIGNAL,client_declared,Stable | Variable | Seasonal | Uncertain | Other,"If Other, capture income_stability_other"
Income,income_sources_primary,Primary Income Source,enum,Medium,SIGNAL,client_declared,Salary | Business | Rent | Capital Gains | Dividends | Pension | Other,"If Other, capture income_sources_primary_other"
Income,income_sources_secondary,Secondary Income Sources,text,Low,SIGNAL,client_declared,—,Free text
Liquidity,upcoming_liquidity_events,Upcoming Liquidity Events,text,High,SIGNAL,client_declared,—,"e.g., ESOP vesting, property sale; include rough timeline"
Liquidity,liquidity_needs_horizon,Liquidity Needs Horizon,enum,High,SIGNAL,client_declared,<3 months | 3–12 months | 1–3 years | 3–5 years | 5+ years | Other,"If Other, capture liquidity_needs_horizon_other"
Cashflow,expense_band_monthly,Monthly Expense Band,enum,High,SIGNAL,client_declared,<50k | 50k–1L | 1–2L | 2–5L | 5L+ | Other,"If Other, capture expense_band_monthly_other"
Cashflow,surplus_investable_band,Investable Surplus Band (Monthly),enum,High,SIGNAL,client_declared,<25k | 25k–50k | 50k–1L | 1–3L | 3L+ | Other,"If Other, capture surplus_investable_band_other"
Cashflow,emergency_buffer_status,Emergency Buffer Status,enum,High,SIGNAL,client_declared,None | <3 months | 3–6 months | 6–12 months | 12+ months | Other,"If Other, capture emergency_buffer_status_other"
Liabilities,liabilities_presence,Liabilities Present?,enum,Medium,SIGNAL,client_declared,None | Home loan | Personal loan | Business loan | Credit card | Multiple | Other,"If Other, capture liabilities_presence_other"
Liabilities,liabilities_notes,Liabilities Notes,text,Medium,SIGNAL,client_declared,—,Qualitative summary (avoid demanding exact numbers)
Goals,goals_summary,Goals Summary,text,High,SIGNAL,client_declared,—,Free-text capture of main goals
Goals,goals_json,Goals (Structured),json,Medium,SIGNAL,rm_observed/client_declared,—,"Array objects: {type, amount_band, target_year/years, priority, fixed_flexible}"
Goals,primary_goal_type,Primary Goal Type,enum,High,SIGNAL,client_declared,Retirement | Child education | Home purchase | Wealth creation | Business goal | Travel/lifestyle | Tax planning | Capital preservation | Other,"If Other, capture primary_goal_type_other"
Goals,primary_goal_horizon,Primary Goal Horizon,enum,High,SIGNAL,client_declared,<1y | 1–3y | 3–5y | 5–10y | 10y+ | Other,"If Other, capture primary_goal_horizon_other"
Goals,goal_priority_style,Goal Priority Style,enum,Medium,SIGNAL,client_declared,One primary | Multiple equal | Unsure | Other,"If Other, capture goal_priority_style_other"
